ID,DATE,PEAK_CURRENT,CHI_SQUARED,NUMBER_OF_SENSORS,HIT_GROUND,DISCHARGES,LAND_COVER,REL_HUMIDITY,AVG_REL_HUMIDITY_1_DAY,AVG_REL_HUMIDITY_3_DAY,AVG_REL_HUMIDITY_5_DAY,AVG_REL_HUMIDITY_10_DAY,AVG_REL_HUMIDITY_15_DAY,TEMPERATURE,AVG_TEMPERATURE_1_DAY,AVG_TEMPERATURE_3_DAY,AVG_TEMPERATURE_5_DAY,AVG_TEMPERATURE_10_DAY,AVG_TEMPERATURE_15_DAY,RAIN,SUM_RAIN_1_DAY,SUM_RAIN_3_DAY,SUM_RAIN_5_DAY,SUM_RAIN_10_DAY,SUM_RAIN_15_DAY,SOLAR_IRRADIANCE,SUM_SOLAR_IRRADIANCE_1_DAY,SUM_SOLAR_IRRADIANCE_3_DAY,SUM_SOLAR_IRRADIANCE_5_DAY,SUM_SOLAR_IRRADIANCE_10_DAY,SUM_SOLAR_IRRADIANCE_15_DAY,WIND,SUM_WIND_1_DAY,SUM_WIND_3_DAY,SUM_WIND_5_DAY,SUM_WIND_10_DAY,SUM_WIND_15_DAY
2898130,2014-04-11T14:02:06.768995Z,43.697,0.6,4,True,1,224,87.0,83.10416666666667,82.14545454545454,84.56962025316456,76.58273381294964,77.73869346733669,16.2,15.597916666666668,14.97818181818182,14.669620253164558,15.06007194244604,14.396984924623114,0.4,0.4,0.4,0.4,10.8,11.299999999999999,99.0,7630.0,24130.0,33659.0,53729.0,71905.0,,,,,,
2955630,2014-06-12T17:56:24.257889Z,-15.54,1.4,4,True,5,113,76.0,39.875,40.88194444444444,48.80833333333333,54.389583333333334,55.17777777777778,19.6,24.285416666666663,24.184027777777768,23.476666666666688,21.484583333333344,19.835138888888874,2.1,3.1,3.1,3.1,3.1,3.6,3.0,12610.0,45765.0,75520.0,155644.0,235834.0,,,,,,
2956453,2014-06-13T13:29:18.648312Z,-51.1525,0.4,5,True,2,224,74.0,63.854166666666664,60.65972222222222,51.15416666666667,55.99166666666667,64.56527777777778,15.7,16.225,16.14583333333332,16.900833333333342,15.053749999999999,12.487638888888887,0.0,0.0,1.0,1.0,1.0,21.800000000000004,63.0,9109.0,35369.0,67277.0,141507.0,179159.0,4.1,171.70000000000002,489.29999999999984,1089.8999999999994,2886.800000000002,3909.800000000006
2956204,2014-06-13T12:45:01.129739Z,6.919,2.6,2,True,1,221,57.0,69.91666666666667,68.77777777777777,67.44166666666666,70.1625,72.00277777777778,26.9,22.995833333333334,22.47222222222223,21.880000000000003,20.21583333333333,19.040833333333325,2.2,2.2,2.2,2.2,2.2,4.800000000000001,,,,,,,,,,,,
2956162,2014-06-13T12:30:16.381086Z,-7.1965,1.5,2,True,1,222,52.0,52.708333333333336,53.94444444444444,51.858333333333334,58.5,61.422222222222224,26.4,25.21875,24.466666666666665,23.997083333333343,21.807916666666674,20.318333333333364,5.9,5.9,5.9,5.9,5.9,9.4,10.0,10603.0,41231.0,70358.0,139804.0,195309.0,3.0,73.20000000000002,249.29999999999993,433.79999999999995,894.4000000000004,1269.1000000000001
2957979,2014-06-13T16:25:41.415078Z,-10.9335,0.7,4,True,2,111,40.0,51.5,49.916666666666664,47.6875,56.36875,61.24583333333333,27.4,24.17708333333334,23.347916666666663,23.48083333333333,21.69416666666667,19.82458333333335,0.1,0.1,0.1,0.1,0.1,2.1,44.0,13292.0,39079.0,66779.0,140462.0,204428.0,4.1,78.69999999999999,241.79999999999995,438.4999999999999,976.6999999999998,1518.1
2957959,2014-06-13T16:20:13.272971Z,-18.0745,0.9,4,True,1,221,58.0,65.75,52.84722222222222,46.4,50.27708333333333,57.74166666666667,21.3,21.0,22.590277777777775,23.39666666666668,22.14520833333332,19.60888888888889,0.0,0.0,40.7,40.7,41.300000000000004,65.1,,,,,,,3.9,62.0,223.39999999999995,391.2000000000002,757.2000000000002,1058.8000000000009
2970768,2014-06-15T14:51:36.154619Z,6.142,0.6,2,True,1,224,59.0,43.354166666666664,46.06944444444444,50.3,64.86041666666667,65.05555555555556,23.0,24.30208333333334,25.825000000000006,24.717083333333328,22.58916666666665,21.42305555555557,0.2,0.2,0.2,0.2,0.6000000000000001,2.1,253.0,14689.0,47181.0,80291.0,150564.0,232449.0,,,,,,
3017453,2014-07-01T14:06:42.946940Z,19.795,0.6,4,True,1,221,58.0,62.9375,50.986111111111114,52.9625,57.97083333333333,57.390277777777776,25.0,24.199999999999992,23.18472222222222,23.72458333333334,23.26,23.06069444444445,0.0,0.0,0.0,0.0,3.100000000000001,3.100000000000001,22.0,12339.0,45701.0,77044.0,132999.0,206093.0,,,,,,
3018355,2014-07-01T15:50:32.912070Z,18.6295,0.6,4,True,1,224,56.0,61.479166666666664,47.201388888888886,51.06666666666667,59.041666666666664,60.00416666666667,24.6,24.368749999999995,23.6875,23.948333333333338,23.21916666666668,22.829027777777778,0.0,0.0,0.0,0.0,5.199999999999999,18.6,13.0,12198.0,45095.0,74132.0,129991.0,205071.0,3.5,163.09999999999997,594.2000000000003,854.4,1424.500000000001,2029.6
