Nº Servei,DATA,HORA,X,Y,NOM_FOC,REGIO,SUPERFÍCIE (HA),Observacions
16/26/04785,11/07/2016,22:03:00,301074,4529864,El Perelló,RETE,"0,0000","04690, 04691 ; "
16/26/04782,11/07/2016,20:59:00,301771,4536403,El Perelló,RETE,"0,0010","04690, 04691 ; GRAF TAR el treballen sense suport d'aigua"
16/26/04781,11/07/2016,20:42:00,271948,4537778,Horta de St. Joan,RETE,"0,0010",
16/26/04779,11/07/2016,19:38:00,302397,4543116,Ginestar,RETE,"0,0200",3092 ; GRAF00 arriba primer i fa la valoració
16/26/04778,11/07/2016,19:12:00,287520,4553104,Corbera d'Ebre,RETE,"0,5000","08BN09 ; 5071 ; GRAF Móra el va trobar anant cap al servei d'Arenys de Lledó, va valorar i van continuar"
16/26/04776,11/07/2016,19:00:00,269217,4542010,Arenys de Lledó,ARAGO,"0,1050","72730, 72330, 72630, 05071 ; GRAF Móra l'ha valorat, però no l'han treballat"
16/25/20756,22/07/2016,21:00:00,423545,4591031,sant cugat,REMS,"0,0000",
16/24/17341,22/07/2016,20:37:00,417866,4576883,Sant boi llobregat,REMS,"0,0000",
16/24/17322,22/07/2016,19:36:00,400578,4574079,Olivella,REMS,"0,0000",4 canvis de direcció 
16/24/17244,22/07/2016,0:22:00,399845,4602728,Collbató,REMS,"0,5000",
16/24/16080,08/07/2016,17:40:00,369478,4607462,Argençola (Carbasí),REMS,"0,2374","24BC15 ; 0.40.93, 0.44.90, 0.44.91 ; El primer en arribar és GRAF03"
16/23/09435,26/07/2016,18:15:00,436457,4623931,Sant Martí de Centelles,REMN,"0,0000",38AZ07 ; 41130 ; 
16/23/09198,22/07/2016,20:20:00,371500,4659500,Lladurs,REC,"0,0000",
16/23/09193,22/07/2016,19:48:00,370925,4647665,Pinell de Solsones,REC,"0,0000",
16/23/09180,22/07/2016,18:34:00,418003,4621949,Monistrol Calders,REC,"0,0000",
16/23/09148,22/07/2016,13:12:00,415221,4644792,Sant Feliu Sasserra,REC,"0,0800",
16/23/09127,22/07/2016,6:09:00,387745,4612073,Castellfollit del Boix,REC,"0,0080",
16/23/08507,09/07/2016,16:39:00,390039,4644853,Cardona,REC,"0,0400",0.40.93 ; Ha arribat GRAF03
16/23/08468,08/07/2016,18:25:00,400311,4639954,Castelladral,REC,"0,0004","0.50.08 ; L' ha trobat GRAF BCN durant ruta de llamps, han treballat amb eines manuals, no vehicles d' aigua."
16/23/08455,08/07/2016,15:20:00,395010,4613373,Sant Salvador de Guardiola,REC,"0,0040",0.44.91 ; 
16/23/07349,18/06/2016,16:05:00,411272,4632776,Sallent,REC,"0,0080",poca consumicio ; 4491 ; 
15/26/05402,31/07/2015,20:23:00,303625,4545132,Ginestar,RETE,"0,0150","04090,04690,72831"
15/26/05180,24/07/2015,19:11:00,269830,4525922,Arnes,RETE,"0,0000",
15/24/18617,16/08/2015,13:41:00,395701,4571795,Olivella,REMS,"0,0030",Posició portatil VIF; 
15/24/18602,16/08/2015,11:35:00,397124,4569635,Sant Pere de Ribes,REMS,"0,0060",
15/24/18548,15/08/2015,19:46:00,395350,4605202,bruc,REMS,"0,0003",
15/23/09927,16/08/2015,10:13:00,394475,4641684,Cardona,REC,"0,0200",
14/0306571,14/06/2014,14:45:00,329037,4655247,Llimiana,RELL,"0,0005",Un arbre. LGRAF09
13/27/00877,17/08/2013,15:31:00,310972,4739229,Bossost,ARAN,"0,0000",
13/26/05715,28/07/2013,19:16:00,282651,4530067,Alfara de Carles,RETE,"0,0000",; ; ; Graf Mora; 
13/26/05564,24/07/2013,19:06:00,292665,4545686,Benifallet,RETiTE,"0,0000",
13/26/05321,18/07/2013,7:00:00,311574,4545444,Tivissa,RETE,"0,0000",; ; ; eines manuals; 
13/26/05092,10/07/2013,20:06:00,273343,4529834,Horta de Sant Joan,RETE,"0,0000",La Punta dels Corcons; ; ; P2730; 05BS04
13/26/04825,02/07/2013,17:28:00,307626,4564521,La Figuera,RET,"0,0000",pi trencat fotografiat; ; ; 72230_BGRAF10; 12BL03
13/25/22539,11/09/2013,16:52:00,465469,4604285,Sant Andreu de Llavaneres,REMN,"0,0000",
13/25/22033,06/09/2013,19:15:00,443271,4602938,Caldes de Montbui,REMN,"0,0000",
13/25/22029,06/09/2013,17:39:00,431081,4614858,Bigues i Riells,REMN,"0,0000",
13/25/22025,06/09/2013,17:52:00,443271,4602938,La Roca del Vallès,REMN,"0,0000",
13/25/21165,26/08/2013,18:58:00,4466448,4596553,Vilassar de dalt,REMN,"0,0000",No veuen res; ; ; 40930; 
13/25/18546,29/07/2013,14:08:00,421783,4614671,St. Llorenç Savall,REMN,"0,0000",; ; ; el troben; 
13/25/18494,29/07/2013,2:52:00,440175,4594424,Alella,REMN,"0,0000",Av. Mil·lenari; ; ; ; 
13/25/18492,29/07/2013,2:28:00,433893,4610489,Sta. Eulalia de Ronçana,REMN,"0,0000",
13/25/17468,18/07/2013,16:29:00,439791,4593891,Tiana,REMN,"0,0000",
13/25/17460,18/07/2013,15:48:00,435373,4600565,Lliçà de Vall,REMN,"0,0000",
13/25/16720,11/07/2013,17:10:00,433230,4619827,Sant Feliu de Codines,REMN,"0,0000",soca cremant; ; ; ; 37BA-35
13/25/16697,11/07/2013,14:42:00,429493,4615307,Sant Feliu de Codines,REMN,"0,0000",; ; ; ; 36BA25
13/25/16696,11/07/2013,14:42:00,440540,4616229,La Garriga,REMN,"0,0000",combustible herbaci; 40630; ; ; 38BA-24
13/24/17418,18/08/2013,17:20:00,384622,4591541,St. Joan de Mediona,REMS,"0,0000",; 50.51 i de camí 5.02.30; ; 5051; 27BF20
13/24/17338,17/08/2013,11:42:00,377415,4589936,La Llacuna,REMS,"0,0000",; ; ; la llacuna + graf girona; 
13/24/17308,17/08/2013,3:37:00,376377,4601137,Sant Martí de Tous,RMS,"0,0000",; ; ; igualada; 
13/24/17304,16/08/2013,23:37:00,397447,4572427,Olivella,RMS,"0,0000",; ; ; sitges; 
13/24/17303,16/08/2013,23:19:00,392099,4589148,Sant Pere de Riudebitlles,RMS,"0,0000",; ; ; vilafranca i capellades; 
