TEST_POINT,TN,FP,FN,TP,FN_RATIO,PRECISION,RECALL,F_SCORE
1,613.6,1.6,45.8,3.0,0.0024060150375939853,0.6876190476190476,0.06055600332532417,0.11073100635053075
2,305.8,2.4,38.0,11.0,0.0066815144766146995,0.8347899159663866,0.22570718589787536,0.3507659455787667
3,197.0,8.4,42.2,7.0,0.03260869565217391,0.4856568268332975,0.14338903129734298,0.21439921083785451
4,143.4,11.0,32.0,17.6,0.052884615384615384,0.6247299664282586,0.36074239950601794,0.44995796829012047
5,116.6,7.0,21.6,28.0,0.03928170594837262,0.8005758807588075,0.5667695274831244,0.662187684795188
6,88.0,14.2,24.6,25.8,0.08953341740226985,0.6487481985156404,0.5158210152152238,0.5717395332951739
7,73.4,15.8,25.2,24.0,0.10866574965612105,0.6088938012342268,0.4881458202641188,0.5402260599424196
8,60.8,16.6,17.8,32.0,0.12278106508875741,0.6578920286063143,0.6431972789115645,0.6502213215774431
9,50.6,17.6,17.2,33.6,0.1375,0.6596661621170208,0.662422402859449,0.6586489003510281
10,53.8,7.6,7.8,42.8,0.06229508196721312,0.8502509076885453,0.8467364480942308,0.8479233475549112
-1,66,12,8,55,0.05673758865248227,0.8208955223880597,0.873015873015873,0.8461538461538461
